,Date,Bitcoin,C,B,S
167,2017-11-30,9916.5363,75.5,0.49263842418774273,0.7951699463327371
168,2017-12-01,10859.5625,75.51,0.5455415631669072,0.7956171735241506
169,2017-12-04,11616.855,77.1,0.5880251658233114,0.8667262969588547
170,2017-12-05,11696.0583,76.54,0.5924684179699734,0.8416815742397139
171,2017-12-06,13708.9913,75.44,0.7053926127110594,0.7924865831842576
172,2017-12-07,16858.02,74.98,0.8820510162267596,0.7719141323792487
173,2017-12-08,16057.145,75.71,0.8371224644750286,0.8045617173524149
174,2017-12-11,16699.6775,75.85,0.8731681079005559,0.8108228980322001
175,2017-12-12,17178.1025,76.15,0.9000074303563972,0.8242397137745976
176,2017-12-13,16407.2025,75.14,0.8567604560527798,0.7790697674418605
177,2017-12-14,16531.0838,73.92,0.8637101141119299,0.7245080500894456
178,2017-12-15,17601.9438,74.77,0.9237846437562048,0.7625223613595704
179,2017-12-18,18960.5225,75.67,1.0,0.802772808586762
180,2017-12-19,17608.35,74.7,0.9241440272907537,0.7593917710196783
181,2017-12-20,16454.7225,74.66,0.8594262962641015,0.757602862254025
182,2017-12-21,15561.05,75.82,0.8092918668395984,0.8094812164579603
183,2017-12-22,13857.145,75.49,0.7137039361730984,0.7947227191413235
184,2017-12-26,15745.2575,74.78,0.8196257843633157,0.762969588550984
185,2017-12-27,15378.285,74.89,0.7990388726009157,0.7678890876565294
186,2017-12-28,14428.76,75.08,0.7457711552891474,0.776386404293381
187,2017-12-29,14427.87,74.41,0.7457212268845161,0.7464221824686939
188,2018-01-02,14740.7563,74.36,0.7632739390080779,0.7441860465116279
189,2018-01-03,15134.6513,74.59,0.7853711850105729,0.7544722719141324
190,2018-01-04,15155.2263,75.51,0.7865254287468513,0.7956171735241506
191,2018-01-05,16937.1738,75.41,0.8864914914565347,0.7911449016100178
192,2018-01-08,14970.3575,74.53,0.7761544127355131,0.7517889087656529
193,2018-01-09,14439.4738,75.31,0.7463721923021115,0.7866726296958855
194,2018-01-10,14890.7225,75.65,0.7716869425076385,0.8018783542039358
195,2018-01-11,13287.26,75.56,0.6817337688997595,0.7978533094812166
196,2018-01-12,13812.715,76.84,0.7112114428947098,0.855098389982111
197,2018-01-16,11348.02,77.11,0.5729437021614708,0.8671735241502683
198,2018-01-17,11141.2488,77.47,0.5613439761618234,0.8832737030411448
199,2018-01-18,11250.6475,77.39,0.5674811700491618,0.8796958855098391
200,2018-01-19,11514.925,78.3,0.5823069610097588,0.9203935599284434
201,2018-01-22,10772.15,78.59,0.5406377803918196,0.9333631484794278
202,2018-01-23,10839.8263,78.55,0.5444343755495106,0.9315742397137745
203,2018-01-24,11399.52,79.45,0.5758328177103569,0.9718246869409661
204,2018-01-25,11137.2375,79.44,0.5611189449151973,0.9713774597495526
205,2018-01-26,11090.0638,80.08,0.558472531902217,1.0
206,2018-01-29,11158.3938,79.96,0.5623057991926128,0.994633273703041
207,2018-01-30,10034.9975,78.62,0.4992840182626884,0.9347048300536676
208,2018-01-31,10166.5063,78.48,0.5066615739693943,0.9284436493738819
209,2018-02-01,9052.5763,79.2,0.4441708461369538,0.960644007155635
210,2018-02-02,8827.63,77.02,0.43155150918560625,0.863148479427549
