Date,Bitcoin,EWJ,FDN,GLD,IWM,IWY,ROBO,SPY,DIA,TLT,UNG,USO,VGT,XLE,XLK,XLU,XLY
10/18/17,5572.1988,57.52,105.25,121.669998,149.520004,69.459999,39.740002,255.720001,231.460007,125.089996,25.360001,10.48,157.410004,67.849998,60.869999,54.25,91.139999
10/19/17,5699.5838,57.389999,104.82,122.389999,149.289993,69.370003,39.5,255.789993,231.649994,125.309998,25.440001,10.35,156.889999,67.639999,60.689999,54.82,91.139999
10/20/17,5984.0863,57.52,105.550003,121.610001,149.979996,69.690002,39.700001,257.109985,233.130005,123.980003,25.48,10.43,157.940002,67.769997,61.099998,54.860001,91.360001
10/23/17,5895.2988,57.66,104.269997,121.800003,148.860001,69.300003,39.77,256.109985,232.649994,124.199997,25.76,10.42,157.369995,67.419998,60.810001,54.889999,90.739998
10/24/17,5518.85,58.139999,104.839996,121.330002,149.169998,69.389999,39.830002,256.559998,234.289993,123.43,25.879999,10.54,157.880005,67.550003,60.98,54.939999,90.959999
10/25/17,5733.9038,57.669998,104.360001,121.349998,148.449997,69.169998,39.619999,255.289993,233.160004,122.839996,25.4,10.48,157.300003,67.080002,60.650002,54.700001,90.610001
10/26/17,5888.145,57.98,105.129997,120.330002,148.759995,69.18,39.689999,255.619995,233.850006,122.43,25.040001,10.57,157.960007,67.220001,60.900002,54.709999,90.93
10/27/17,5767.68,58.419998,107.25,120.900002,149.789993,70.550003,40.139999,257.709991,234.169998,123.239998,24.440001,10.84,161.990005,67.339996,62.540001,55.049999,92.400002
10/30/17,6121.8,58.400002,107.019997,121.129997,148.210007,70.540001,40.099998,256.75,233.330002,124.419998,24.52,10.87,162.520004,67.690002,62.68,55.060001,91.980003
10/31/17,6447.6675,58.650002,107.43,120.669998,149.259995,70.68,40.669998,257.149994,233.630005,124.459999,23.92,10.93,163.229996,67.910004,62.950001,55.119999,91.989998
11/1/17,6750.1725,58.98,107.269997,121.110001,148.270004,70.669998,40.490002,257.48999,234.190002,124.75,23.879999,10.9,163.169998,68.68,62.959999,54.810001,92.019997
11/2/17,7030.0025,59.049999,106.889999,121.190002,148.710007,70.68,40.509998,257.589996,234.960007,125.300003,24.120001,10.99,163.289993,68.480003,62.990002,55.009998,91.330002
11/3/17,7161.4513,59.189999,107.389999,120.620003,148.610001,71.110001,40.709999,258.450012,235.179993,125.639999,24.48,11.18,164.589996,68.68,63.490002,55.209999,91.699997
11/6/17,6958.2113,59.18,107.650002,121.650002,148.779999,71.279999,40.98,258.850006,235.410004,126.110001,25.52,11.51,165.330002,70.25,63.630001,55,92.370003
11/7/17,7129.59,59.650002,106.75,121.209999,147,71.379997,40.959999,258.670013,235.419998,126.639999,25.879999,11.49,165.259995,70.160004,63.66,55.66,91.82
11/8/17,7444.36,60.02,107.18,121.629997,147.199997,71.599998,41.080002,259.109985,235.460007,126.360001,25.879999,11.41,166.220001,69.82,64.010002,55.700001,91.919998
11/9/17,7146.7813,59.52,105.989998,122.129997,146.679993,71.309998,40.619999,258.170013,234.720001,126,26.360001,11.46,164.740005,70.029999,63.5,55.77,92.059998
11/10/17,6570.3125,59.080002,106.190002,121.129997,146.570007,71.32,40.639999,258.089996,234.429993,124.099998,26.440001,11.42,164.800003,69.660004,63.5,55.509998,92.370003
11/13/17,6517.6763,58.82,106.379997,121.309998,146.610001,71.389999,40.490002,258.329987,234.660004,124.360001,25.84,11.38,164.770004,69.260002,63.48,56.169998,92.68
11/14/17,6598.7688,58.509998,106.68,121.559998,146.210007,71.309998,40.57,257.730011,234.279999,125.199997,25.32,11.13,164.479996,68.139999,63.349998,56.869999,92.760002
11/15/17,7279.0013,58.080002,106.050003,121.410004,145.630005,70.75,40.200001,256.440002,232.960007,126.559998,25.32,11.09,163.229996,67.370003,62.880001,56.380001,92.360001
11/16/17,7843.9375,58.98,107.970001,121.400002,147.770004,71.43,40.900002,258.619995,234.910004,125.459999,25.24,11.07,165.479996,67.099998,63.759998,56.200001,93.129997
11/17/17,7689.9088,58.689999,107.879997,122.860001,148.449997,71.160004,41,257.859985,233.389999,126.389999,25.6,11.35,164.639999,67.43,63.349998,55.810001,93.540001
11/20/17,8238.2025,58.98,108.400002,121.309998,149.529999,71.25,41.419998,258.299988,234.149994,126.339996,24.959999,11.28,165.220001,67.269997,63.59,55.639999,93.720001
11/21/17,8095.5938,59.52,109.75,121.510002,151.089996,71.980003,42.110001,259.98999,235.729996,126.739998,24.799999,11.4,167.25,67.419998,64.260002,55.790001,94.300003
11/22/17,8230.6925,59.560001,110.050003,122.629997,150.889999,71.940002,42.25,259.76001,235.169998,127.150002,24.4,11.6,166.809998,67.690002,64.139999,55.790001,94.389999
11/24/17,8201.4613,60.049999,111.010002,122.32,150.949997,72.25,42.59,260.359985,235.470001,126.800003,23.360001,11.79,167.770004,67.879997,64.5,55.880001,94.629997
